11:10:01.128 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - testng
11:10:01.128 [ApplicationImpl pooled thread 45] INFO  com.browserstack.utils.Helpers - null
11:10:01.129 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:10:52.299 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - testng
11:10:52.299 [ApplicationImpl pooled thread 45] INFO  com.browserstack.utils.Helpers - null
11:10:52.300 [ApplicationImpl pooled thread 45] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:13:42.914 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - testng
11:13:42.914 [ApplicationImpl pooled thread 46] INFO  com.browserstack.utils.Helpers - null
11:13:42.914 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:20:23.167 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - testng
11:20:23.167 [ApplicationImpl pooled thread 58] INFO  com.browserstack.utils.Helpers - null
11:20:23.169 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:23:40.697 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - testng
11:23:40.697 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - null
11:23:40.697 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:24:56.262 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - testng
11:24:56.262 [ApplicationImpl pooled thread 65] INFO  com.browserstack.utils.Helpers - null
11:24:56.262 [ApplicationImpl pooled thread 65] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:27:49.656 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - testng
11:27:49.656 [ApplicationImpl pooled thread 58] INFO  com.browserstack.utils.Helpers - null
11:27:49.656 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:46:21.844 [ApplicationImpl pooled thread 80] INFO  c.b.l.BrowserStackRunExtension - testng
11:46:21.845 [ApplicationImpl pooled thread 80] INFO  com.browserstack.utils.Helpers - null
11:46:21.845 [ApplicationImpl pooled thread 80] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:49:20.524 [ApplicationImpl pooled thread 79] INFO  c.b.l.BrowserStackRunExtension - testng
11:49:20.525 [ApplicationImpl pooled thread 79] INFO  com.browserstack.utils.Helpers - null
11:49:20.525 [ApplicationImpl pooled thread 79] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:55:01.933 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - testng
11:55:01.933 [ApplicationImpl pooled thread 84] INFO  com.browserstack.utils.Helpers - null
11:55:01.934 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:55:42.250 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - testng
11:55:42.251 [ApplicationImpl pooled thread 84] INFO  com.browserstack.utils.Helpers - null
11:55:42.251 [ApplicationImpl pooled thread 84] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
11:58:13.220 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - testng
